Frequency [Hz],PSD [microns/s^2]^2/Hz
0.134284413016793,2.3138912051828e-20
0.134532051588129,2.32226806760391e-20
0.134780146838395,2.33067465625408e-20
0.135028699609768,2.33911107227035e-20
0.135277710745979,2.34757741710236e-20
0.135527181092315,2.35607379251302e-20
0.13577711149562,2.3646003005793e-20
0.136027502804303,2.37315704369292e-20
0.136278355868334,2.38174412456113e-20
0.136529671539253,2.39036164620742e-20
0.13678145067017,2.39900971197222e-20
0.137033694115766,2.40768842551372e-20
0.137286402732302,2.41639789080853e-20
0.137539577377614,2.42513821215243e-20
0.137793218911124,2.43390949416111e-20
0.138047328193835,2.44271184177091e-20
0.13830190608834,2.45154536023955e-20
0.138556953458823,2.46041015514686e-20
0.138812471171061,2.4693063323955e-20
0.139068460092427,2.47823399821169e-20
0.139324921091895,2.48719325914599e-20
0.13958185504004,2.49618422207397e-20
0.139839262809044,2.50520699419698e-20
0.140097145272695,2.51426168304286e-20
0.140355503306395,2.52334839646668e-20
0.14061433778716,2.53246724265147e-20
0.140873649593621,2.54161833010892e-20
0.141133439606033,2.55080176768019e-20
0.14139370870627,2.56001766453654e-20
0.141654457777837,2.56926613018011e-20
0.141915687705864,2.57854727444465e-20
0.142177399377116,2.58786120749622e-20
0.142439593679992,2.59720803983396e-20
0.14270227150453,2.60658788229074e-20
0.142965433742409,2.61600084603399e-20
0.143229081286953,2.62544704256632e-20
0.143493215033133,2.63492658372632e-20
0.143757835877571,2.64443958168923e-20
0.14402294471854,2.6539861489677e-20
0.144288542455973,2.6635663984125e-20
0.14455462999146,2.67318044321322e-20
0.144821208228255,2.68282839689904e-20
0.145088278071278,2.69251037333938e-20
0.145355840427117,2.70222648674468e-20
0.145623896204032,2.71197685166708e-20
0.145892446311958,2.72176158300115e-20
0.146161491662507,2.73158079598464e-20
0.146431033168975,2.74143460619908e-20
0.146701071746339,2.75132312957067e-20
0.146971608311266,2.76124648237083e-20
0.147242643782111,2.77120478121699e-20
