Frequency [Hz],CPS microns^2
0.253093304464139,3.01099821631487e-20
0.253560042657531,3.0198228055714e-20
0.254027641579112,3.02864191822124e-20
0.254496102816178,3.03745570541691e-20
0.254965427958957,3.04626431872632e-20
0.255435618600606,3.05506791013523e-20
0.255906676337223,3.06386663204956e-20
0.256378602767848,3.0726606372978e-20
0.25685139949447,3.08145007913342e-20
0.257325068122031,3.09023511123725e-20
0.257799610258435,3.09901588771988e-20
0.25827502751455,3.10779256312409e-20
0.258751321504214,3.11656529242725e-20
0.259228493844244,3.1253342310438e-20
0.259706546154434,3.13409953482761e-20
0.26018548005757,3.14286136007448e-20
0.260665297179426,3.15161986352455e-20
0.261145999148778,3.16037520236481e-20
0.261627587597404,3.16912753423151e-20
0.262110064160091,3.17787701721265e-20
0.262593430474641,3.18662380985047e-20
0.263077688181877,3.19536807114392e-20
0.263562838925647,3.20410996055117e-20
0.264048884352831,3.21284963799209e-20
0.264535826113346,3.22158726385077e-20
0.265023665860151,3.23032299897803e-20
0.265512405249254,3.23905700469395e-20
0.266002045939717,3.24778944279038e-20
0.266492589593662,3.25652047553352e-20
0.266984037876274,3.2652502656664e-20
0.267476392455811,3.27397897641149e-20
0.267969655003607,3.28270677147321e-20
0.268463827194077,3.29143381504053e-20
0.268958910704726,3.30016027178954e-20
0.269454907216151,3.30888630688602e-20
0.269951818412049,3.31761208598802e-20
0.27044964597922,3.32633777524848e-20
0.270948391607578,3.3350635413178e-20
0.271448056990151,3.34378955134647e-20
0.271948643823089,3.3525159729877e-20
0.272450153805672,3.36124297440001e-20
0.272952588640311,3.3699707242499e-20
0.27345595003256,3.37869939171445e-20
0.273960239691115,3.387429146484e-20
0.274465459327824,3.39616015876477e-20
0.274971610657693,3.40489259928156e-20
0.275478695398889,3.41362663928039e-20
0.275986715272749,3.42236245053118e-20
0.276495672003784,3.43110020533046e-20
0.277005567319684,3.439840076504e-20
0.277516402951327,3.44858223740958e-20
0.278028180632782,3.45732686193966e-20
0.278540902101315,3.46607412452406e-20
0.279054569097398,3.47482420013275e-20
0.279569183364711,3.48357726427854e-20
0.280084746650149,3.49233349301978e-20
0.280601260703831,3.50109306296319e-20
0.2811187272791,3.50985615126652e-20
0.281637148132536,3.51862293564135e-20
0.282156525023955,3.52739359435587e-20
0.282676859716422,3.53616830623761e-20
0.28319815397625,3.54494725067625e-20
0.28372040957301,3.55373060762639e-20
0.284243628279539,3.56251855761035e-20
0.28476781187194,3.57131128172098e-20
0.285292962129593,3.58010896162446e-20
0.285819080835159,3.5889117795631e-20
0.286346169774586,3.59771991835819e-20
0.286874230737117,3.60653356141282e-20
0.287403265515294,3.61535289271471e-20
0.287933275904964,3.62417809683907e-20
0.288464263705286,3.63300935895145e-20
0.288996230718736,3.64184686481058e-20
0.289529178751118,3.65069080077125e-20
0.29006310961156,3.65954135378722e-20
0.290598025112532,3.66839871141404e-20
0.291133927069843,3.67726306181196e-20
0.291670817302651,3.68613459374887e-20
0.29220869763347,3.69501349660313e-20
0.292747569888174,3.70389996036656e-20
0.293287435896005,3.71279417564728e-20
0.293828297489577,3.7216963336727e-20
0.294370156504885,3.73060662629243e-20
0.294913014781309,3.7395252459812e-20
0.295456874161621,3.74845238584184e-20
0.296001736491993,3.75738823960821e-20
0.296547603621998,3.76633300164819e-20
0.297094477404624,3.77528686696662e-20
0.297642359696273,3.78425003120828e-20
0.298191252356772,3.79322269066091e-20
0.298741157249377,3.80220504225816e-20
0.299292076240782,3.8111972835826e-20
0.299844011201121,3.82019961286873e-20
0.300396964003978,3.829212229006e-20
0.300950936526391,3.83823533154182e-20
0.301505930648861,3.84726912068457e-20
0.302061948255357,3.85631379730667e-20
0.302618991233321,3.86536956294762e-20
0.303177061473676,3.874436619817e-20
0.303736160870833,3.88351517079757e-20
0.304296291322696,3.89260541944834e-20
0.304857454730669,3.90170757000761e-20
0.305419652999661,3.91082182739604e-20
0.305982888038097,3.91994839721978e-20
0.306547161757919,3.92908748577352e-20
0.307112476074596,3.93823930004361e-20
0.307678832907128,3.94740404771116e-20
0.308246234178056,3.95658193715513e-20
0.308814681813465,3.9657731774555e-20
0.309384177742992,3.97497797839633e-20
0.309954723899832,3.98419655046896e-20
0.310526322220748,3.99342910487511e-20
0.31109897464607,4.00267585353002e-20
0.31167268311971,4.01193700906565e-20
0.312247449589164,4.02121306245519e-20
0.312823276005518,4.0305052851569e-20
0.313400164323457,4.03981539691596e-20
0.313978116501272,4.04914455892488e-20
0.314557134500863,4.05849320280599e-20
0.315137220287749,4.06786153532145e-20
0.315718375831075,4.07724976398156e-20
0.316300603103615,4.08665809704788e-20
0.316883904081783,4.09608674353649e-20
0.317468280745636,4.10553591322112e-20
0.318053735078885,4.11500581663636e-20
0.318640269068897,4.12449666508085e-20
0.319227884706704,4.13400867062052e-20
0.319816583987011,4.14354204609174e-20
0.320406368908201,4.15309700510463e-20
0.320997241472343,4.16267376204619e-20
0.321589203685196,4.17227253208362e-20
0.32218225755622,4.18189353116751e-20
0.32277640509858,4.19153697603508e-20
0.323371648329152,4.20120308421348e-20
0.323967989268535,4.21089207402301e-20
0.324565429941051,4.22060416458041e-20
0.325163972374756,4.23033957580213e-20
0.325763618601447,4.24009852840759e-20
0.326364370656666,4.2498812439225e-20
0.326966230579712,4.25968794468212e-20
0.327569200413641,4.26951885383459e-20
0.328173282205278,4.27937419534422e-20
0.328778478005225,4.2892541939948e-20
0.329384789867862,4.29915907539294e-20
0.32999221985136,4.30908906597135e-20
0.330600770017684,4.31904439299224e-20
0.331210442432602,4.32902528455058e-20
0.331821239165693,4.33903196957753e-20
0.33243316229035,4.3490646778437e-20
0.333046213883793,4.35912363996258e-20
0.333660396027068,4.36920908739386e-20
0.334275710805063,4.37932125244683e-20
0.334892160306509,4.38946036828373e-20
0.335509746623989,4.39962666892313e-20
0.336128471853946,4.40982038924335e-20
0.336748338096686,4.42004176498582e-20
0.337369347456393,4.43029103275848e-20
0.337991502041127,4.44056843003921e-20
0.338614803962839,4.45087419517923e-20
0.339239255337372,4.4612085674065e-20
0.339864858284472,4.47157178682917e-20
0.340491614927795,4.48196409443898e-20
0.341119527394912,4.49238573211472e-20
0.341748597817317,4.50283694262567e-20
0.342378828330438,4.51331796963502e-20
0.343010221073637,4.52382905770335e-20
0.343642778190223,4.53437045229205e-20
0.344276501827459,4.54494239976685e-20
0.344911394136565,4.5555451474012e-20
0.345547457272731,4.56617894337982e-20
0.346184693395118,4.57684403680214e-20
0.346823104666873,4.58754067768579e-20
0.347462693255128,4.5982691169701e-20
0.348103461331015,4.60902960651956e-20
0.348745411069667,4.6198223991274e-20
0.349388544650231,4.63064774851899e-20
0.35003286425587,4.64150590935545e-20
0.350678372073775,4.6523971372371e-20
0.351325070295169,4.66332168870699e-20
0.351972961115316,4.67427982125447e-20
0.352622046733531,4.68527179331866e-20
0.353272329353181,4.69629786429204e-20
0.3539238111817,4.70735829452396e-20
0.354576494430588,4.71845334532419e-20
0.355230381315429,4.72958327896647e-20
0.355885474055889,4.74074835869208e-20
0.356541774875728,4.75194884871339e-20
0.357199286002808,4.76318501421742e-20
0.357858009669098,4.77445712136942e-20
0.358517948110685,4.78576543731645e-20
0.359179103567778,4.79711023019092e-20
0.359841478284717,4.80849176911424e-20
0.360505074509983,4.81991032420033e-20
0.361169894496201,4.83136616655928e-20
0.361835940500152,4.84285956830092e-20
0.362503214782778,4.85439080253841e-20
0.363171719609189,4.86596014339184e-20
0.363841457248676,4.87756786599188e-20
0.364512429974712,4.88921424648335e-20
0.365184640064963,4.90089956202887e-20
0.365858089801294,4.91262409081245e-20
0.366532781469782,4.92438811204314e-20
0.367208717360717,4.93619190595864e-20
0.367885899768611,4.94803575382896e-20
0.368564330992212,4.95991993796003e-20
0.369244013334503,4.97184474169734e-20
0.369924949102716,4.98381044942962e-20
0.370607140608338,4.99581734659245e-20
0.371290590167117,5.00786571967191e-20
0.371975300099074,5.01995585620828e-20
0.372661272728506,5.03208804479964e-20
0.373348510383999,5.04426257510557e-20
0.37403701539843,5.05647973785081e-20
0.374726790108981,5.06873982482891e-20
0.375417836857142,5.08104312890592e-20
0.376110157988723,5.09338994402406e-20
0.376803755853859,5.10578056520539e-20
0.377498632807017,5.11821528855551e-20
0.37819479120701,5.13069441126721e-20
0.378892233416998,5.14321823162419e-20
0.379590961804499,5.15578704900473e-20
0.380290978741399,5.16840116388539e-20
0.380992286603956,5.1810608778447e-20
0.381694887772813,5.19376649356686e-20
0.382398784632998,5.20651831484544e-20
