Frequency [Hz],PSD [m/s^2]^2/Hz
13.7502096707489,4.24640189645696e-11
13.9064620533711,1.42458005357807e-11
14.0627144359932,3.97106479738799e-12
14.2189668186154,4.78277410574597e-11
14.3752192012375,1.51653660486406e-11
14.5314715838597,3.82687214633585e-13
14.6877239664818,3.75921662162508e-11
14.843976349104,1.11052235734475e-10
15.0002287317261,3.69212139045369e-11
15.1564811143483,1.04849690239713e-11
15.3127334969704,8.11691751046961e-11
15.4689858795925,1.008588558102e-10
15.6252382622147,1.38705781986073e-11
15.7814906448368,2.5151370050651e-11
15.937743027459,2.64448849142133e-11
16.0939954100811,4.25544664214285e-11
16.2502477927033,2.21052108162902e-11
16.4065001753254,7.43037633021263e-12
16.5627525579476,2.04951630194955e-12
16.7190049405697,3.933676423395e-12
16.8752573231919,6.57307001943007e-12
17.031509705814,2.39785720985434e-12
17.1877620884362,2.3122486225589e-12
17.3440144710583,2.94970114213855e-11
17.5002668536805,5.67981001628215e-11
17.6565192363026,3.9088181989771e-11
17.8127716189248,5.45227017690444e-11
17.9690240015469,6.42565962656139e-11
18.125276384169,5.97202144754988e-11
18.2815287667912,6.99466667738829e-11
18.4377811494133,1.7149729268e-11
18.5940335320355,2.48727751142643e-12
18.7502859146576,1.70976049717016e-11
18.9065382972798,4.94220755393013e-11
19.0627906799019,1.41704205277362e-10
19.2190430625241,2.20082491877935e-10
19.3752954451462,9.97606719730281e-11
19.5315478277684,5.10528220097006e-11
19.6878002103905,2.48853444080673e-12
19.8440525930127,5.38926518186681e-11
20.0003049756348,7.59857969834379e-11
20.156557358257,3.87302571846795e-11
20.3128097408791,4.41451582174609e-11
20.4690621235012,4.35150980355675e-11
20.6253145061234,4.33317081484864e-11
20.7815668887455,8.7579268276255e-12
20.9378192713677,7.80142387780565e-13
21.0940716539898,6.65274194252855e-12
21.250324036612,4.31670136332863e-12
21.4065764192341,7.02115033345631e-12
21.5628288018563,1.13496142144839e-11
21.7190811844784,6.23790259933221e-13
21.8753335671006,1.27414921653157e-11
22.0315859497227,1.8953884920439e-11
22.1878383323449,3.32177188977964e-11
22.344090714967,4.124708903133e-11
22.5003430975892,1.11260242834298e-11
22.6565954802113,2.07472210204167e-12
22.8128478628335,2.82708655891964e-12
22.9691002454556,1.16608713559021e-12
23.1253526280778,5.67707216905887e-13
23.2816050106999,4.72291869702814e-12
23.437857393322,1.66133283903565e-10
23.5941097759442,5.20308687214089e-10
23.7503621585663,1.90140309235539e-10
23.9066145411885,2.2751650977266e-11
24.0628669238106,1.9617157427269e-11
24.2191193064328,2.31089728053445e-11
24.3753716890549,2.18960649522722e-10
24.5316240716771,4.10936229127629e-10
24.6878764542992,9.61675572422979e-11
24.8441288369214,1.11794565841366e-10
25.0003812195435,2.20979428207944e-11
25.1566336021657,9.19827782199076e-12
25.3128859847878,1.10106981793057e-12
25.46913836741,3.12645674102547e-11
25.6253907500321,1.38085713357357e-10
25.7816431326542,7.4279057817491e-11
25.9378955152764,1.20864765277969e-11
26.0941478978985,2.08949030945505e-12
26.2504002805207,7.83964760760523e-12
