Frequency [Hz],PSD A^2/Hz
327.61895,7.20E-13
328.28599,1.13E-12
328.95304,5.48E-13
329.62008,1.13E-12
330.28712,1.38E-12
330.95417,6.68E-13
331.62121,5.98E-13
332.28826,1.44E-12
332.9553,1.44E-12
333.62235,1.67E-12
334.28939,9.38E-13
334.95644,9.79E-13
335.62348,1.10E-12
336.29053,2.20E-12
336.95757,8.46E-13
337.62462,9.65E-13
338.29166,1.27E-12
338.95871,1.95E-12
339.62575,9.29E-13
340.2928,7.40E-13
340.95984,1.02E-12
341.62688,1.33E-12
342.29393,9.41E-13
342.96097,1.04E-12
343.62802,7.13E-13
344.29506,6.25E-13
344.96211,1.06E-12
345.62915,8.20E-13
346.2962,1.01E-12
346.96324,8.97E-13
347.63029,9.73E-13
348.29733,1.74E-12
348.96438,6.50E-13
349.63142,8.38E-13
350.29847,8.04E-13
350.96551,7.34E-13
351.63256,1.61E-12
352.2996,1.15E-12
352.96664,1.10E-12
353.63369,1.24E-12
354.30073,9.24E-13
354.96778,1.12E-12
355.63482,1.98E-12
356.30187,1.61E-12
356.96891,1.20E-12
357.63596,8.02E-13
358.303,1.24E-12
358.97005,1.08E-12
359.63709,1.19E-12
360.30414,1.24E-12
360.97118,7.11E-13
361.63823,1.04E-12
362.30527,9.86E-13
362.97231,1.43E-12
363.63936,1.52E-12
364.3064,8.50E-13
364.97345,1.43E-12
365.64049,1.66E-12
366.30754,8.09E-13
366.97458,5.98E-13
367.64163,1.71E-12
368.30867,1.10E-12
368.97572,1.12E-12
369.64276,1.13E-12
370.30981,1.80E-12
370.97685,1.20E-12
371.6439,1.21E-12
372.31094,1.42E-12
372.97799,7.85E-13
373.64503,7.84E-13
374.31207,6.58E-13
374.97912,1.05E-12
375.64616,1.17E-12
376.31321,8.33E-13
376.98025,1.44E-12
377.6473,1.08E-12
378.31434,1.22E-12
378.98139,1.08E-12
379.64843,8.48E-13
380.31548,1.36E-12
380.98252,6.52E-13
381.64957,1.41E-12
382.31661,9.62E-13
382.98366,9.44E-13
383.6507,1.27E-12
384.31775,1.10E-12
384.98479,1.28E-12
385.65183,1.06E-12
386.31888,1.33E-12
386.98592,1.21E-12
387.65297,8.47E-13
388.32001,7.15E-13
388.98706,1.18E-12
389.6541,1.11E-12
390.32115,9.67E-13
390.98819,1.24E-12
391.65524,1.51E-12
392.32228,1.04E-12
392.98933,1.01E-12
393.65637,1.92E-12
394.32342,9.57E-13
394.99046,1.10E-12
395.65751,1.09E-12
396.32455,1.41E-12
396.99159,5.85E-13
397.65864,1.34E-12
398.32568,7.76E-13
398.99273,1.26E-12
399.65977,1.86E-12
400.32682,1.01E-12
400.99386,1.17E-12
401.66091,5.74E-13
402.32795,7.72E-13
402.995,1.30E-12
403.66204,1.28E-12
404.32909,1.18E-12
404.99613,6.16E-13
405.66318,1.45E-12
406.33022,7.74E-13
406.99726,8.79E-13
407.66431,1.26E-12
408.33135,7.37E-13
408.9984,6.24E-13
409.66544,8.57E-13
410.33249,8.86E-13
410.99953,1.25E-12
411.66658,1.09E-12
412.33362,7.45E-13
413.00067,1.09E-12
413.66771,1.17E-12
414.33476,8.41E-13
415.0018,9.27E-13
415.66885,6.47E-13
416.33589,1.37E-12
417.00294,8.40E-13
417.66998,7.68E-13
418.33702,1.21E-12
419.00407,1.15E-12
419.67111,1.06E-12
420.33816,1.80E-12
421.0052,1.49E-12
421.67225,9.33E-13
422.33929,1.05E-12
423.00634,1.17E-12
423.67338,5.57E-13
424.34043,8.11E-13
425.00747,1.09E-12
425.67452,1.06E-12
426.34156,1.33E-12
427.00861,1.16E-12
427.67565,1.20E-12
428.3427,1.03E-12
429.00974,1.90E-12
429.67678,1.29E-12
430.34383,8.12E-13
431.01087,1.75E-12
431.67792,1.08E-12
432.34496,1.33E-12
433.01201,1.06E-12
433.67905,7.14E-13
434.3461,8.57E-13
435.01314,1.45E-12
435.68019,1.12E-12
436.34723,1.87E-12
437.01428,1.01E-12
437.68132,9.71E-13
438.34837,1.50E-12
439.01541,7.90E-13
439.68245,1.00E-12
440.3495,1.52E-12
441.01654,6.85E-13
441.68359,7.85E-13
442.35063,6.19E-13
443.01768,1.11E-12
443.68472,1.06E-12
444.35177,6.31E-13
445.01881,1.44E-12
445.68586,8.74E-13
446.3529,8.16E-13
447.01995,7.99E-13
447.68699,9.74E-13
448.35404,7.76E-13
449.02108,7.01E-13
449.68813,9.36E-13
450.35517,8.73E-13
451.02221,1.22E-12
451.68926,1.18E-12
452.3563,1.36E-12
453.02335,6.50E-13
453.69039,1.04E-12
454.35744,7.71E-13
455.02448,1.20E-12
455.69153,1.15E-12
456.35857,1.34E-12
457.02562,1.49E-12
457.69266,1.47E-12
458.35971,5.04E-13
459.02675,7.00E-13
459.6938,1.54E-12
460.36084,1.26E-12
461.02789,1.17E-12
461.69493,1.34E-12
462.36197,1.32E-12
463.02902,9.82E-13
463.69606,7.32E-13
464.36311,1.05E-12
465.03015,8.94E-13
465.6972,1.24E-12
466.36424,1.28E-12
467.03129,6.93E-13
467.69833,1.86E-12
468.36538,1.34E-12
469.03242,1.58E-12
469.69947,1.33E-12
470.36651,1.03E-12
471.03356,9.38E-13
471.7006,1.59E-12
472.36765,1.08E-12
473.03469,9.51E-13
473.70173,9.51E-13
474.36878,9.90E-13
475.03582,8.27E-13
475.70287,5.59E-13
476.36991,7.54E-13
477.03696,7.56E-13
477.704,8.21E-13
478.37105,1.55E-12
479.03809,6.08E-13
479.70514,1.46E-12
480.37218,1.27E-12
481.03923,1.26E-12
481.70627,6.01E-13
482.37332,1.17E-12
483.04036,1.25E-12
483.7074,7.71E-13
484.37445,1.02E-12
485.04149,8.38E-13
485.70854,7.07E-13
486.37558,1.06E-12
487.04263,9.09E-13
487.70967,8.15E-13
488.37672,9.54E-13
489.04376,8.09E-13
489.71081,1.15E-12
490.37785,1.03E-12
491.0449,1.22E-12
491.71194,1.11E-12
492.37899,1.19E-12
493.04603,1.33E-12
493.71308,1.12E-12
494.38012,1.40E-12
495.04716,1.16E-12
495.71421,6.84E-13
496.38125,1.03E-12
497.0483,1.18E-12
497.71534,1.16E-12
498.38239,1.02E-12
499.04943,9.19E-13
499.71648,1.77E-12
500.38352,1.01E-12
501.05057,1.50E-12
501.71761,7.89E-13
502.38466,1.69E-12
503.0517,1.03E-12
503.71875,8.57E-13
504.38579,1.54E-12
505.05284,6.72E-13
505.71988,1.04E-12
506.38692,6.79E-13
507.05397,6.93E-13
507.72101,8.35E-13
508.38806,1.29E-12
509.0551,8.83E-13
509.72215,8.62E-13
510.38919,8.53E-13
511.05624,1.01E-12
511.72328,9.11E-13
512.39033,1.27E-12
513.05737,1.23E-12
513.72442,1.64E-12
514.39146,7.42E-13
515.05851,9.12E-13
515.72555,1.27E-12
516.3926,7.64E-13
517.05964,9.74E-13
517.72668,1.29E-12
518.39373,6.69E-13
519.06077,9.34E-13
519.72782,6.97E-13
520.39486,1.07E-12
521.06191,7.04E-13
521.72895,9.32E-13
522.396,1.55E-12
523.06304,1.11E-12
523.73009,7.20E-13
524.39713,1.88E-12
525.06418,1.04E-12
525.73122,1.19E-12
526.39827,1.10E-12
527.06531,1.03E-12
527.73235,9.63E-13
528.3994,1.33E-12
529.06644,8.59E-13
529.73349,1.38E-12
530.40053,1.38E-12
531.06758,1.13E-12
531.73462,1.31E-12
532.40167,9.24E-13
533.06871,1.37E-12
533.73576,5.01E-13
534.4028,1.21E-12
535.06985,1.05E-12
535.73689,1.23E-12
536.40394,8.99E-13
537.07098,1.26E-12
537.73803,1.26E-12
538.40507,7.41E-13
539.07211,1.50E-12
539.73916,6.89E-13
540.4062,5.66E-13
541.07325,1.29E-12
541.74029,7.43E-13
542.40734,6.51E-13
543.07438,7.55E-13
543.74143,1.42E-12
544.40847,7.56E-13
545.07552,8.82E-13
545.74256,1.11E-12
546.40961,1.05E-12
547.07665,3.89E-13
547.7437,2.27E-12
548.41074,1.35E-12
549.07779,6.89E-13
549.74483,1.09E-12
550.41187,8.04E-13
551.07892,1.33E-12
551.74596,1.01E-12
552.41301,1.37E-12
553.08005,1.12E-12
553.7471,1.10E-12
554.41414,9.72E-13
555.08119,2.24E-12
555.74823,8.57E-13
556.41528,9.62E-13
557.08232,1.17E-12
557.74937,1.07E-12
558.41641,1.05E-12
559.08346,1.17E-12
559.7505,8.99E-13
560.41755,1.12E-12
561.08459,1.15E-12
561.75163,7.15E-13
562.41868,1.02E-12
563.08572,1.47E-12
563.75277,8.30E-13
564.41981,1.47E-12
565.08686,5.27E-13
565.7539,1.57E-12
566.42095,7.09E-13
567.08799,8.18E-13
567.75504,8.05E-13
568.42208,1.20E-12
569.08913,6.84E-13
569.75617,1.04E-12
570.42322,8.68E-13
571.09026,9.20E-13
571.7573,1.71E-12
572.42435,1.05E-12
573.09139,1.15E-12
573.75844,1.86E-12
574.42548,1.59E-12
575.09253,1.07E-12
575.75957,1.08E-12
576.42662,8.15E-13
577.09366,9.76E-13
577.76071,1.49E-12
578.42775,1.27E-12
579.0948,1.35E-12
579.76184,1.48E-12
580.42889,8.31E-13
581.09593,1.32E-12
581.76298,1.49E-12
582.43002,8.30E-13
583.09706,8.50E-13
583.76411,1.41E-12
584.43115,1.13E-12
585.0982,7.91E-13
585.76524,1.28E-12
586.43229,1.34E-12
587.09933,1.73E-12
587.76638,1.69E-12
588.43342,1.40E-12
589.10047,8.81E-13
589.76751,1.24E-12
590.43456,1.01E-12
591.1016,8.52E-13
591.76865,7.07E-13
592.43569,9.59E-13
593.10274,8.90E-13
593.76978,7.36E-13
594.43682,6.82E-13
595.10387,1.04E-12
595.77091,9.86E-13
596.43796,1.19E-12
597.105,1.25E-12
597.77205,9.86E-13
598.43909,1.63E-12
599.10614,1.37E-12
599.77318,1.20E-12
600.44023,1.11E-12
