Frequency [Hz],PSD [m/s^2]^2/Hz
79.5324627546728,7.83898162612741e-12
79.6887151372949,3.17442723976269e-12
79.8449675199171,1.61448170401958e-12
80.0012199025392,1.28470424628978e-12
80.1574722851614,9.44608403341765e-12
80.3137246677835,2.45252713648389e-12
80.4699770504057,3.73862573998796e-12
80.6262294330278,3.10995283276812e-12
80.78248181565,3.44405400565297e-13
80.9387341982721,2.75615514817865e-12
81.0949865808943,3.83901053687865e-12
81.2512389635164,1.80790672136565e-13
81.4074913461386,4.98842263843239e-12
81.5637437287607,5.87882574322461e-12
81.7199961113829,7.10332360318475e-12
81.876248494005,4.5617378408892e-12
82.0325008766271,3.65817732255364e-11
82.1887532592493,3.59072600028684e-11
82.3450056418714,6.7709354123118e-12
82.5012580244936,3.4484132893676e-12
82.6575104071158,1.65949550663616e-12
82.8137627897379,1.03213284527816e-12
82.97001517236,1.06349553690263e-12
83.1262675549822,5.04196922394778e-12
83.2825199376043,2.62911101150285e-11
83.4387723202265,1.05860282747546e-11
83.5950247028486,2.10181602577663e-13
83.7512770854708,1.02256124935091e-12
83.9075294680929,9.94639567252689e-12
84.0637818507151,1.89648577398451e-11
84.2200342333372,3.20687682451743e-11
84.3762866159594,3.54031415498903e-11
84.5325389985815,1.99210062799167e-11
84.6887913812037,6.86852009563269e-11
84.8450437638258,7.0930949182853e-11
85.0012961464479,2.38553485073443e-11
85.1575485290701,1.05026459556419e-10
85.3138009116922,1.09632920108396e-10
85.4700532943144,1.51332942022344e-11
85.6263056769365,7.77849462969601e-14
85.7825580595587,1.40576800040348e-11
85.9388104421808,2.20897538662086e-11
86.095062824803,4.0492233834372e-12
86.2513152074251,2.51985777200117e-12
86.4075675900473,4.20871799204099e-12
86.5638199726694,2.57910947871813e-12
86.7200723552915,2.60387833493139e-12
86.8763247379137,4.57140120787862e-12
87.0325771205358,3.20142295783169e-12
87.188829503158,7.11776676964236e-14
87.3450818857801,2.4549313608485e-12
87.5013342684023,1.41183568659626e-12
87.6575866510244,8.70579260335802e-13
87.8138390336466,7.43845868559453e-14
87.9700914162687,6.07292323211168e-12
88.1263437988909,1.40983698301068e-11
88.282596181513,4.65065017875436e-12
88.4388485641352,2.81815524424071e-13
88.5951009467573,1.55666195202832e-12
88.7513533293795,1.94357322554096e-12
88.9076057120016,3.4371773189403e-12
89.0638580946238,1.29074353109028e-12
89.2201104772459,2.98993193583931e-12
89.3763628598681,1.62230464661204e-12
89.5326152424902,4.47636258646227e-12
89.6888676251124,9.40687698909319e-12
89.8451200077345,4.1033197092737e-12
90.0013723903567,3.54659825399529e-12
90.1576247729788,8.31423295684713e-12
90.3138771556009,4.02266425418666e-11
90.4701295382231,5.27408192406574e-11
90.6263819208452,4.5372498925383e-11
90.7826343034674,2.53630289682585e-11
90.9388866860895,1.95653934126882e-12
91.0951390687117,1.65055317010273e-11
91.2513914513338,1.17764169342585e-11
91.407643833956,7.10894807083655e-12
91.5638962165781,1.2057606743597e-11
91.7201485992003,1.55459569014023e-11
91.8764009818224,5.92790484030741e-12
92.0326533644446,8.071765476184e-13
92.1889057470667,1.13799471908359e-12
92.3451581296888,1.04254730154391e-11
92.501410512311,9.09550722044233e-12
92.6576628949332,6.41082363323812e-12
92.8139152775553,8.4130230125967e-12
92.9701676601775,1.90143428364213e-12
93.1264200427996,2.67314899246263e-12
93.2826724254217,5.77828085849216e-12
93.4389248080439,7.37396406800748e-12
93.595177190666,7.95133525801147e-12
93.7514295732882,7.47024723529398e-12
93.9076819559103,1.69861007828444e-12
94.0639343385325,2.14562191868214e-11
94.2201867211546,6.06152504398521e-11
94.3764391037768,1.59508024323385e-11
94.5326914863989,1.0332442467785e-13
94.6889438690211,4.04574114675772e-12
94.8451962516432,3.20095978545207e-11
95.0014486342653,4.25869241534494e-11
95.1577010168875,5.29987422498061e-12
95.3139533995096,2.50527762475775e-12
95.4702057821318,5.43271142994627e-12
95.6264581647539,2.35860831904258e-12
95.7827105473761,9.26351869468674e-13
95.9389629299982,4.48607480793917e-10
96.0952153126204,2.16220318099773e-09
96.2514676952425,6.59194799666266e-10
96.4077200778647,2.36843491664413e-11
96.5639724604868,2.21487584527982e-11
96.720224843109,9.86034345690162e-12
96.8764772257311,2.01186129349124e-11
97.0327296083533,1.2301079797539e-11
97.1889819909754,1.29267433970983e-11
97.3452343735975,1.9339381554867e-10
97.5014867562197,3.20678053681534e-10
97.6577391388419,1.61920613570144e-10
97.813991521464,9.94876649867029e-12
97.9702439040861,1.33806402919065e-11
98.1264962867083,1.71232739100971e-11
98.2827486693304,6.56720340015291e-12
98.4390010519526,2.70378699136426e-12
98.5952534345747,1.47706483936092e-11
98.7515058171969,6.06404647994517e-12
98.907758199819,5.93252613834545e-13
99.0640105824412,6.33320362301848e-12
99.2202629650633,4.78435631578715e-12
99.3765153476855,4.37537754567239e-12
99.5327677303076,3.08907286136208e-13
99.6890201129298,3.48670267953206e-11
99.8452724955519,1.48447431875558e-08
100.001524878174,4.96716319953842e-08
100.157777260796,1.0658171832664e-08
100.314029643418,4.33542939746952e-12
100.47028202604,3.52620967464392e-11
100.626534408663,2.00986691979093e-10
100.782786791285,1.39934104011652e-10
100.939039173907,9.09356957091273e-12
101.095291556529,1.10002559583302e-11
101.251543939151,1.32418231336108e-11
101.407796321773,6.49574227938794e-12
101.564048704396,8.37418735413233e-12
101.720301087018,1.59741343634826e-11
101.87655346964,2.96684369603726e-12
102.032805852262,4.24663809998796e-12
102.189058234884,1.14022055688258e-11
102.345310617506,4.30428723441176e-11
102.501563000128,2.49431168618972e-11
102.657815382751,3.23320653574434e-11
102.814067765373,3.04520941249498e-11
102.970320147995,2.12379713625673e-11
103.126572530617,2.32351305561855e-11
103.282824913239,1.47320457426425e-11
103.439077295861,6.07468006206992e-12
103.595329678483,2.12893795420952e-12
103.751582061106,3.47261553058533e-12
103.907834443728,1.76759071222722e-12
104.06408682635,6.29096175030809e-12
104.220339208972,1.06299061872127e-11
104.376591591594,1.23534176816848e-12
104.532843974216,4.98797506089911e-12
104.689096356838,5.58326315579478e-12
104.845348739461,3.23187725338554e-12
105.001601122083,9.30987527191038e-12
105.157853504705,1.40578049841807e-11
105.314105887327,1.21574751053972e-12
105.470358269949,9.04971668554196e-12
105.626610652571,1.08159958444993e-12
105.782863035193,6.34600709606947e-12
105.939115417816,8.4636939503341e-13
106.095367800438,5.3896713604644e-13
106.25162018306,6.68699557707082e-12
106.407872565682,1.38570637512531e-12
106.564124948304,5.49680731442016e-12
106.720377330926,3.54760204899734e-12
106.876629713549,2.76141926854678e-11
107.032882096171,1.78862283376823e-11
107.189134478793,2.50392919118203e-13
107.345386861415,4.00826874254849e-12
107.501639244037,8.86270581972606e-12
107.657891626659,1.0091119590086e-12
107.814144009281,6.426818264766e-13
107.970396391904,3.5717942934306e-13
108.126648774526,1.06839108657326e-12
108.282901157148,1.09274510733702e-12
108.43915353977,3.18853948395031e-12
108.595405922392,1.09673909256434e-11
108.751658305014,5.88040431293363e-12
108.907910687636,1.89718664225828e-12
109.064163070259,1.01803859748376e-12
109.220415452881,1.05274480433438e-11
109.376667835503,1.17059517484899e-12
